DOF Gross Floor Area,Largest Property Use Type - Gross Floor Area (ft²),score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Latitude,Longitude,Community Board,Council District,Census Tract
,131610.0,100.0,11.2,11.6,,0.1,12.1,1475294.7,15218.0,,,78.4,78.4,0.0,131610.0,237581.3,1805.19,11.8,,,,,
436115.0,436115.0,17.0,122.5,129.7,4.7,1.1,169.6,46177697.3,496299.8,7257526.0,2038135.5,3126.2,2452.7,673.5,436115.0,,,163.4,40.825416,-73.940013,10.0,9.0,234.0
436115.0,74068.0,34.0,94.4,100.1,3.9,0.9,132.7,5995197.2,64321.1,996260.5,287207.5,410.9,318.4,92.5,74068.0,,,127.2,40.825416,-73.940013,10.0,9.0,234.0
436115.0,84442.0,22.0,112.0,121.2,3.2,1.1,150.1,8669754.6,95103.3,980532.0,275487.0,551.5,460.5,91.0,86192.0,,,141.3,40.825416,-73.940013,10.0,9.0,234.0
436115.0,72806.0,43.0,97.0,102.5,4.1,0.9,137.1,5995197.2,64321.1,1070432.5,301337.5,417.8,318.4,99.3,72806.0,,,132.6,40.825416,-73.940013,10.0,9.0,234.0
436115.0,74549.0,6.0,105.2,111.8,4.0,1.0,146.1,6785387.7,73118.9,1056809.6,300343.9,458.5,360.4,98.1,74549.0,,,140.1,40.825416,-73.940013,10.0,9.0,234.0
436115.0,96602.0,13.0,123.7,123.1,5.7,1.0,169.9,10543342.0,105433.4,2033804.2,579014.4,748.7,560.0,188.7,101686.0,,,171.7,40.825416,-73.940013,10.0,9.0,234.0
436115.0,61782.0,1.0,150.6,160.6,5.1,1.4,205.4,8186833.3,88385.5,1119687.4,317998.9,538.7,434.8,103.9,61782.0,,,196.0,40.825416,-73.940013,10.0,9.0,234.0
749142.0,735000.0,96.0,35.5,34.6,7.7,0.1,91.6,5623182.4,59854.4,20492629.3,5695967.6,2200.4,298.7,1901.7,735000.0,45976.8,62.55,95.6,,,,,
749142.0,70000.0,100.0,65.2,,,,,,,,,277.3,277.3,0.0,70000.0,4414.3,63.06,67.5,,,,,
